CarAge,Mileage,EngineSize,HorsePower,FuelEfficiency,BrandValue,OwnerCount,Price
7,59131,2.0,147,13.1,9,1,4032190.94
14,160159,3.3,107,25.4,8,1,2998355.8
2,17828,3.9,463,21.0,9,1,5868805.23
13,197682,1.5,97,13.1,9,1,2873397.14
0,101664,3.4,169,18.5,6,3,4112646.66
3,137473,3.2,363,16.9,3,1,4629797.46
1,221251,3.1,469,27.2,1,4,4515036.28
7,20193,3.8,193,8.7,8,1,4118704.3
3,228461,4.3,474,27.7,3,5,4630745.63
1,180936,2.3,161,22.3,7,5,3502171.17
13,156379,4.6,324,24.2,6,1,4191862.93
5,107518,1.6,166,8.1,3,1,3294379.36
5,24611,1.7,75,21.8,6,5,3319265.81
9,179863,2.1,238,20.9,3,4,3046455.45
3,148022,1.5,452,19.8,9,2,4755048.81
5,81240,1.9,340,25.3,1,3,4061788.88
12,244719,1.4,177,20.2,8,5,2734827.53
14,213475,4.3,456,26.9,5,1,4312788.82
1,7745,1.6,368,13.1,4,3,4498059.09
9,60243,4.0,116,25.7,1,1,3295356.73
11,8866,1.2,168,11.9,9,2,3323418.09
1,168317,4.8,83,25.9,9,2,3978401.32
9,180796,3.8,263,28.7,5,5,3599134.91
13,133681,1.0,226,15.4,9,3,3004953.34
3,76354,4.1,457,19.7,9,3,5476292.64
13,56374,3.1,223,22.5,7,2,3645185.32
14,119397,4.1,184,9.7,8,1,3429605.18
14,129577,3.1,465,18.9,1,5,3601214.73
7,166188,3.6,327,15.9,4,4,3367963.0
13,86029,4.1,214,27.2,4,2,3626097.63
6,98574,2.6,360,27.3,9,2,4811502.48
11,156519,1.0,79,23.4,3,5,2221615.15
8,35431,4.4,437,22.4,1,1,4707635.48
13,153980,2.5,283,24.1,5,3,3504225.04
7,34336,3.0,302,16.1,7,2,4383537.39
4,45992,1.0,240,16.9,4,5,3586535.79
12,60350,3.0,90,20.2,9,5,3054379.76
1,74561,4.9,84,28.6,6,5,4263729.04
14,56955,2.1,488,23.9,6,3,4592634.64
4,66240,2.6,437,20.1,3,2,4971277.35
7,156165,3.7,195,24.9,5,5,3429638.79
9,142227,4.3,410,16.2,6,3,4539771.85
8,51607,2.7,410,24.1,4,1,4356709.24
11,169559,2.2,282,17.0,3,4,2747237.93
11,249266,4.8,257,14.2,5,2,3501717.34
11,191740,3.7,241,21.4,7,3,3538853.98
12,157035,1.5,316,23.1,6,4,3176631.49
8,186196,1.3,74,18.1,2,4,2149781.59
12,57870,2.9,300,20.4,1,3,3564436.13
14,192619,1.9,270,23.3,5,3,2993107.82
12,69110,2.0,442,24.9,5,3,4408441.61
0,189626,4.5,471,27.7,6,5,5181508.59
8,157008,1.4,218,15.8,3,1,3202387.55
6,121895,3.9,141,28.9,1,5,3146249.38
8,9426,2.1,295,22.0,4,4,4104246.84
7,224911,4.0,143,25.3,4,4,2936088.37
0,246888,3.9,376,23.4,2,4,4290946.32
11,32606,1.0,238,12.5,8,3,3525974.98
7,183904,3.0,318,9.6,6,2,3905855.39
7,33151,1.6,349,24.0,3,5,3871834.01
14,215375,4.5,221,19.2,1,2,2890626.48
10,16308,4.5,293,23.4,3,1,4264332.88
2,245853,2.7,294,18.5,8,1,4142953.59
0,198594,2.8,107,14.9,4,5,3331831.91
7,181743,2.2,113,14.3,3,4,2568975.88
2,95306,3.9,254,24.1,4,1,4226507.3
2,230180,2.4,310,14.1,4,2,3692005.49
0,111984,2.1,487,23.7,2,2,5123271.09
10,7204,2.7,400,16.4,4,3,4154096.93
4,97769,1.4,420,25.0,9,4,4884819.73
9,92265,4.0,279,11.1,4,3,3671523.7
6,36131,1.1,92,12.5,1,5,2299376.3
9,57428,3.6,193,23.1,1,1,3566284.23
8,38870,1.7,155,20.3,1,3,2914602.11
11,108547,1.9,112,12.5,5,3,2890138.27
6,240990,3.5,109,27.9,6,5,3250361.58
8,54067,5.0,372,14.1,6,2,4987087.69
7,194657,4.1,238,17.3,6,2,3955442.01
11,243083,1.9,244,12.5,9,5,3119677.84
1,117217,1.7,89,16.5,1,2,2752978.36
0,157679,4.5,178,18.8,6,5,4035869.84
6,161040,2.8,262,14.5,8,2,4067011.12
6,103934,1.5,313,24.9,8,5,4040137.18
13,147980,4.4,393,16.7,3,2,3906060.25
7,162495,4.3,349,24.0,5,3,4431206.76
4,245223,4.9,297,12.6,4,3,4081739.55
2,79707,4.6,105,16.3,1,2,3444990.11
11,214329,4.4,114,8.2,9,5,3068519.15
7,66215,1.2,455,24.7,5,3,4572599.18
5,191907,1.4,97,21.8,2,1,2512948.71
10,54429,3.3,223,26.0,2,2,3511740.51
2,87152,3.1,92,18.0,7,1,3886996.77
0,113048,2.8,276,25.6,4,1,4661348.24
2,174530,2.6,489,22.2,1,4,4381197.17
4,182241,2.7,160,8.1,5,1,3373425.24
14,143731,3.3,459,13.6,2,1,4018121.97
13,196686,1.0,488,18.9,7,4,4083644.12
2,244977,2.0,428,21.6,9,4,4625093.18
0,82240,3.1,107,9.4,1,4,2912330.16
4,168865,3.9,488,23.5,2,5,4738417.29
9,118688,1.7,297,20.0,6,4,3639596.58
6,51473,3.2,271,19.6,8,5,4172843.64
14,101762,3.9,419,14.4,7,2,4425373.54
13,225460,2.8,378,21.1,9,5,4035919.71
6,233690,1.1,323,8.6,2,2,3089278.39
10,224402,2.8,107,9.4,9,4,2526522.23
8,111956,2.2,290,24.1,4,4,3858245.81
14,123452,4.7,256,15.1,3,2,3399540.67
14,191823,1.5,112,15.6,7,3,2453413.29
9,131311,3.6,428,12.6,5,5,4184368.84
9,214987,1.2,183,17.8,5,1,2898464.29
11,190326,2.8,329,9.1,2,4,3155374.46
12,12006,3.2,74,14.6,6,5,3076024.4
2,79218,2.2,137,19.6,6,5,3622345.28
14,201416,2.8,297,18.2,4,4,2886665.51
6,169912,1.7,192,30.0,5,2,3453316.05
0,37430,2.2,242,16.6,7,4,4508990.59
3,28091,3.5,405,16.5,8,5,5010186.08
12,169055,2.2,222,19.1,6,3,2917337.72
3,28989,4.6,336,12.2,5,2,5087987.17
13,80451,3.5,226,27.3,3,4,3575884.22
4,244160,2.8,231,20.6,7,1,3800275.8
6,23990,1.2,283,12.2,8,4,4109212.98
6,95270,3.0,467,25.5,3,5,4611057.17
12,85360,4.1,445,8.8,5,5,3876929.23
14,41081,2.1,477,29.6,2,1,4277766.03
10,147105,4.2,492,27.0,4,2,4947580.95
12,113272,2.0,95,20.8,4,5,2256027.75
3,21241,4.3,496,10.4,8,2,5550401.36
12,129932,1.3,361,12.7,3,2,3179151.68
6,10939,4.5,492,14.1,5,4,5175562.67
10,118000,3.0,258,13.3,5,2,3647571.39
2,183634,2.2,469,18.9,2,5,4442694.06
5,40063,2.1,191,28.8,9,5,4308388.11
11,236072,2.7,299,17.8,4,3,3248876.09
1,212793,5.0,128,22.6,9,2,3993958.03
9,163117,1.9,165,23.1,9,3,3119871.93
12,180841,1.4,331,27.2,2,4,3151604.03
13,52118,3.3,423,8.7,9,3,4242097.95
8,89703,3.0,381,16.9,9,2,4761694.24
4,238020,3.1,205,25.3,2,5,3185064.5
5,157697,3.7,419,25.9,6,4,4637889.87
11,240796,2.1,352,28.4,9,2,3527654.67
11,133557,4.6,480,23.5,4,4,4580096.27
11,32076,2.7,189,13.4,2,1,3273550.52
11,200877,1.5,499,19.1,7,2,4106452.99
3,49605,4.0,494,8.7,9,1,5553894.68
13,89565,3.6,94,22.2,6,3,3082305.29
13,224581,2.3,411,20.2,4,2,3299417.05
10,44121,3.5,215,22.7,1,1,3620666.07
9,201173,1.9,81,28.5,4,5,2578357.44
6,36433,2.8,156,23.1,3,3,3241180.16
11,48309,4.6,178,15.0,7,2,3780852.48
8,72468,1.5,492,12.4,5,2,4469280.71
6,180326,2.5,414,26.8,3,5,4014112.01
13,72293,4.3,335,12.3,2,5,3419772.05
0,101258,4.9,291,11.6,2,1,4335786.69
0,173925,2.8,143,12.5,5,1,3562704.02
8,43405,3.0,402,19.2,8,1,5002402.72
10,202724,3.3,379,10.7,8,4,4027899.71
13,48527,4.7,482,28.6,5,3,5004824.28
8,82227,4.4,171,29.3,2,2,3856467.47
3,136564,1.7,494,29.4,4,3,4626206.91
12,229490,2.7,206,8.9,7,5,2688333.53
8,144883,2.9,260,28.8,6,3,3831625.47
2,98344,4.2,490,29.9,7,3,5247095.81
6,160344,3.4,211,28.7,5,1,3909104.3
5,230007,3.6,426,22.8,2,5,4029529.01
7,208082,5.0,142,23.4,8,3,3574300.74
10,228564,1.3,397,10.7,2,2,3287501.94
8,52153,1.9,236,27.2,8,1,4258756.55
13,113042,2.6,237,9.3,7,3,3316348.32
4,59110,2.4,123,15.0,3,5,2905345.59
0,150051,1.1,328,29.8,4,2,4100895.69
2,246131,1.4,180,17.3,7,5,3228712.32
9,244173,3.7,301,10.9,4,5,3150437.61
11,33328,4.5,230,29.3,9,5,4274891.86
7,117911,3.1,421,29.7,7,4,4568594.16
14,17867,3.2,396,12.1,1,2,3806685.01
10,64234,2.0,88,27.0,1,5,2740016.59
5,30851,4.1,359,16.6,4,4,4649007.8
7,36279,4.0,119,16.4,9,1,4238849.82
8,232135,3.4,244,13.8,4,4,3290236.95
3,78402,1.9,371,9.0,5,1,4352065.42
0,20449,1.4,253,13.9,1,4,3733318.8
13,81221,1.3,254,9.2,2,5,2834942.44
0,94080,3.4,408,28.3,4,4,5116140.86
9,10451,4.3,376,22.6,4,4,4719777.6
3,92178,4.4,379,27.5,6,5,4998956.5
11,177388,2.9,415,23.8,6,1,4158042.56
13,199136,4.1,150,10.9,8,5,2873554.66
6,68761,4.8,443,28.7,9,2,5836809.04
1,241562,2.1,225,27.8,1,4,3250192.47
2,43870,2.6,344,15.7,1,2,4465037.36
0,101566,4.7,352,10.5,6,5,5057572.34
4,128749,2.4,318,23.5,4,5,4088344.36
0,128765,4.7,216,24.0,4,3,4484252.0
7,129881,4.9,76,27.7,1,2,3446392.68
0,166945,3.6,226,9.2,9,3,4192323.13
10,133389,4.3,240,11.1,3,2,3388490.36
0,194699,4.0,138,21.2,5,3,3586999.22
1,202227,3.8,163,21.6,1,3,3168702.26
1,235258,2.2,438,8.7,8,2,4596078.69
11,30372,1.2,432,16.7,3,5,3843669.73
5,8642,2.4,445,20.9,1,1,4755378.03
6,164073,3.7,255,24.2,6,5,3772188.71
4,39064,1.4,461,15.0,1,1,4391850.27
0,230898,1.0,239,18.6,3,2,3499316.86
0,19122,1.6,273,25.9,5,4,4202057.94
2,160892,3.9,111,29.0,4,5,3520225.4
13,73431,4.9,82,13.1,7,3,3422098.21
1,60745,4.9,223,13.6,6,5,4425924.42
4,55081,3.0,343,28.7,3,2,4484082.76
11,206974,4.5,367,16.7,8,4,4304003.1
9,144783,3.9,120,23.8,8,4,3242590.95
5,221204,3.0,438,21.5,2,5,3860283.72
6,154865,3.3,281,14.3,7,5,3763064.14
3,144271,1.5,213,22.4,1,5,3209319.22
6,81253,4.8,426,22.4,2,2,4559632.5
10,41191,2.4,72,21.0,8,1,3556469.55
7,15211,2.8,323,10.2,1,1,3939375.29
10,116086,3.7,404,29.9,2,3,4339111.35
0,199141,2.3,325,16.8,1,2,4024700.76
14,224968,2.0,167,22.0,5,4,2295256.09
5,192818,3.5,242,27.5,7,3,4034796.65
7,157614,1.1,219,17.3,6,4,3136447.19
4,167384,3.9,348,25.0,6,4,4477031.21
3,181314,3.1,128,29.4,6,5,3411618.05
1,106971,3.4,182,15.9,8,4,4334711.85
5,98783,3.5,393,16.9,5,4,4491241.87
5,130681,3.1,312,27.9,7,2,4442337.44
10,92893,3.3,379,11.5,3,5,3942353.01
14,191460,3.7,126,8.6,9,5,2880045.86
0,242653,4.0,476,28.0,3,3,4949172.8
8,163763,3.9,436,26.1,6,5,4467352.86
11,82960,4.5,129,29.4,3,1,3677811.6
10,89388,1.8,398,9.3,1,2,3398808.61
5,27601,2.6,285,11.4,1,3,3917054.47
12,154092,4.8,302,10.3,3,1,3728191.96
2,144227,2.6,124,23.0,4,4,3166358.53
3,205191,1.5,442,21.3,2,1,4163012.78
11,217123,3.1,277,15.9,9,3,3415019.36
10,172849,1.4,132,9.3,8,5,2568767.78
3,24710,1.8,253,22.1,3,2,4075393.89
2,113714,5.0,380,20.5,7,3,5044212.47
9,160604,3.2,350,10.5,4,1,3469521.04
2,133727,2.1,95,28.0,5,1,3507655.95
14,154673,5.0,246,12.4,4,3,3338164.42
2,68227,4.9,132,24.4,9,3,4504772.68
3,141039,2.8,498,27.5,7,3,5223074.58
6,89289,2.0,142,20.7,4,5,3083690.79
3,156094,4.4,404,13.4,8,3,4818067.89
8,179535,3.9,236,14.8,2,4,3501462.7
0,210743,3.7,294,27.5,7,2,4679819.13
7,10722,4.6,134,14.6,1,2,3466959.53
6,163485,3.8,138,24.4,8,4,3547827.4
1,228844,2.1,78,29.8,6,1,3300833.33
7,86050,3.8,305,30.0,5,1,4441105.97
0,245504,2.2,267,19.7,9,1,4278710.94
10,238820,4.0,481,26.2,9,1,5042470.93
11,241994,3.5,242,29.8,3,5,2898332.52
8,221939,1.3,351,16.2,9,4,3751841.61
8,88596,3.1,97,13.6,9,2,3634157.65
1,71732,2.4,365,10.5,2,4,4103226.88
6,148369,2.3,468,11.1,5,2,4315453.63
14,73323,3.4,203,26.8,2,1,3019665.26
13,28816,2.3,96,21.0,1,5,2658733.64
9,45695,4.1,107,27.2,7,3,3833103.83
2,155774,1.3,265,25.4,4,3,3662120.9
6,161314,3.6,272,22.8,5,1,3972005.19
11,60841,4.2,154,21.4,4,1,3385769.68
9,133498,3.7,389,9.1,6,4,4151571.05
8,203784,3.0,99,27.2,2,5,2501325.41
3,221735,4.8,168,17.2,8,5,3701187.22
11,112096,2.2,456,20.3,4,4,3922451.31
0,97764,1.1,259,8.5,8,5,4097065.64
1,189646,2.7,81,28.6,3,5,3012846.8
0,90744,1.1,160,27.9,5,3,3570059.82
13,33482,4.8,99,20.0,3,5,3029255.9
11,14171,1.8,282,20.7,7,1,3917050.69
4,105755,4.2,107,23.5,3,3,3626145.87
4,235004,4.1,410,13.8,8,1,4986029.28
10,113125,1.9,129,12.9,9,1,2971507.8
6,135722,3.5,363,22.8,2,4,3930792.88
8,111082,1.2,429,10.3,3,5,3684031.47
8,8696,2.9,212,18.0,7,5,3872444.09
2,131310,1.1,471,18.8,5,5,4667847.67
2,156130,4.7,249,16.4,7,5,4306714.78
2,156385,4.9,354,12.1,2,3,4400997.41
3,24149,1.9,181,15.8,4,2,3825177.47
7,135064,1.8,299,15.4,1,1,3283681.51
5,58521,4.0,90,19.0,5,2,3746716.55
7,50740,2.0,214,22.8,8,2,4076616.29
0,111611,4.6,215,29.3,1,2,4278146.17
7,141028,3.3,444,11.2,7,3,4287251.46
3,211803,2.4,490,27.2,7,2,4850440.6
10,218684,4.3,385,14.3,7,3,4150306.66
0,71641,3.0,235,21.0,1,4,3915808.75
7,68811,4.6,209,20.0,3,4,3909914.56
3,188232,4.7,272,20.3,2,4,4017350.21
5,187385,1.7,313,23.9,5,3,3826033.65
7,68232,1.0,182,16.4,2,3,3072873.22
3,20417,4.9,270,15.0,5,1,4880763.11
13,160801,4.6,454,26.8,5,2,4404652.04
2,117492,1.2,383,12.8,4,5,4006650.08
13,35099,4.3,328,12.0,7,5,3915874.45
8,234206,2.8,324,8.3,6,2,3805891.11
2,166033,2.0,474,12.6,2,5,3998730.88
8,148674,4.5,92,19.4,4,5,2710361.17
12,123474,1.8,462,19.8,7,5,4406677.7
1,14256,4.8,315,13.6,9,3,5331303.86
13,222192,1.8,408,9.6,9,3,3787637.19
1,248588,3.5,380,24.4,3,3,4400176.89
1,39681,1.9,435,24.7,1,2,4890266.73
5,96328,3.2,441,30.0,9,4,5309686.0
2,223512,3.7,472,27.8,8,5,5170071.51
12,200861,1.8,387,28.4,7,1,3574416.04
8,48361,3.1,156,25.6,6,3,3576374.05
3,200575,2.9,288,21.5,7,1,3860597.95
0,39540,1.3,492,10.8,9,5,5132391.88
3,162608,4.3,425,21.7,6,4,4821718.66
0,89700,2.3,96,9.2,3,1,3359413.17
13,199115,3.3,499,27.5,3,5,3822995.08
4,83532,3.1,359,18.6,4,5,4249539.86
3,192647,3.1,358,23.3,8,3,4513875.23
7,132626,1.4,417,9.1,9,4,4290434.14
7,138943,2.7,292,19.8,8,5,4078039.83
6,51002,2.8,421,14.6,2,4,4306125.14
2,54812,3.9,247,14.3,4,3,4374610.63
0,158698,4.4,217,16.6,4,1,4261531.98
0,196051,3.2,493,8.0,2,2,4817897.4
11,212129,1.3,296,18.3,8,2,3665735.03
10,113946,1.9,420,18.7,3,2,3543723.27
2,71668,1.7,255,27.0,2,4,3985976.71
5,104003,1.5,484,17.9,7,2,4629050.88
6,216142,2.5,363,16.0,1,1,3631443.79
5,225462,1.9,498,29.9,6,5,4535317.29
13,47998,1.9,110,20.6,3,4,2658271.42
13,199886,1.2,462,18.4,3,1,3532701.68
5,109601,1.1,462,18.9,5,4,4359964.89
5,181679,1.4,260,25.8,3,4,3365472.46
12,12812,1.7,148,15.5,4,4,2820142.73
2,66844,2.7,274,16.6,3,3,3795549.71
5,206165,3.0,453,24.6,7,5,4582241.95
7,138251,1.6,347,9.6,3,2,3452922.71
10,179870,2.7,341,27.0,4,3,3570247.45
10,79601,2.4,101,17.5,2,5,2399961.86
1,144347,1.7,211,20.8,2,2,3223270.94
4,186646,1.0,320,24.7,9,3,4060611.28
13,52857,2.9,363,13.9,1,3,3524048.74
0,130555,3.7,167,27.6,1,1,4001536.56
11,237556,1.9,205,29.5,1,3,2443222.68
14,25700,1.5,346,18.9,3,4,3647027.42
0,175536,4.5,381,28.6,2,3,4823955.64
4,178423,2.1,371,8.0,3,4,3528568.11
11,98330,1.9,112,27.7,5,5,2717267.35
12,230391,4.4,189,14.8,9,5,3552058.55
2,218606,4.3,289,14.9,2,4,3911674.86
3,149941,2.8,115,13.0,1,1,2950144.35
2,196387,3.0,305,15.0,6,1,4369737.42
0,246133,1.9,117,12.7,3,5,2542918.54
0,229760,1.3,267,27.9,7,3,3898318.42
11,157026,3.3,153,27.8,6,5,2772430.29
11,167627,1.4,100,10.2,7,5,2452674.73
13,68353,2.8,230,11.1,5,4,3010607.22
12,218262,4.8,497,27.0,1,1,4280127.35
13,181098,4.8,140,16.8,3,4,2520740.67
4,105772,2.0,77,11.7,3,5,2746246.39
5,183048,3.5,455,19.2,7,2,4837732.5
2,216650,2.9,470,17.2,3,3,4238974.45
11,96502,4.5,121,12.8,5,5,3004893.27
8,118943,2.1,114,23.9,4,4,2915650.59
4,114850,1.0,362,21.9,4,2,4138727.08
7,50095,1.7,495,10.2,7,2,5046210.25
12,150342,2.4,369,28.4,1,5,3515655.22
0,166980,2.3,442,20.3,7,1,4951302.38
13,20523,4.2,107,13.5,8,2,3408843.83
4,67433,3.7,424,12.5,3,3,4442605.05
14,183140,2.2,449,11.0,3,4,3206119.15
2,24991,2.8,300,17.3,4,4,4497550.31
11,15775,1.4,331,11.0,6,4,3485307.54
0,213873,4.6,137,17.1,7,5,3797641.77
3,89995,4.7,248,11.3,1,4,3832282.49
14,197322,4.9,426,22.4,4,4,3856358.91
12,152745,4.5,488,25.3,7,3,4597917.31
4,127808,1.7,255,20.1,2,1,3299923.32
6,163128,1.2,270,23.0,1,5,2827617.02
0,142686,3.3,459,28.6,1,5,4708476.39
2,237628,4.7,82,22.0,6,4,3540764.6
1,12415,1.7,283,16.0,5,3,4582544.73
8,224763,1.0,289,17.9,1,2,2890383.5
9,179956,4.2,355,26.9,3,4,4028548.45
14,153036,1.3,313,10.9,7,4,3341624.41
5,173798,2.7,425,15.2,9,5,4603355.38
9,42044,3.7,327,20.7,9,5,4685829.82
2,193221,1.9,127,22.9,6,4,3216898.22
7,173616,1.3,105,24.8,3,5,2593339.66
13,54976,4.1,397,15.0,1,3,3917571.62
7,168324,3.5,498,11.2,3,2,4408751.4
1,8832,5.0,462,29.0,2,2,5878584.33
14,226883,2.4,451,9.7,5,2,3370387.29
5,216509,1.2,262,10.1,8,4,3266986.32
6,239821,3.9,402,18.9,5,4,4340677.7
1,39148,3.1,119,26.0,1,4,3732228.36
14,197312,1.9,101,25.0,3,3,2140968.56
10,244241,4.1,167,28.6,5,2,3283231.05
9,224526,1.8,112,11.1,7,5,2542529.6
1,117230,2.0,450,16.3,5,5,4687562.34
9,90076,1.4,420,14.2,5,1,4170945.42
0,213188,2.6,403,26.9,7,1,4787865.34
7,189531,2.7,379,18.7,8,5,4329641.8
0,43402,3.1,116,8.6,8,2,4090186.29
8,193799,3.8,339,23.6,7,4,3994016.43
10,43578,4.6,380,16.6,3,5,4256380.54
5,95453,1.6,482,19.7,2,5,4306622.96
6,158390,1.2,132,27.7,1,1,2853633.24
12,80715,1.1,88,13.6,6,2,2737772.8
9,213859,1.6,416,13.3,9,5,3832951.74
6,116435,3.6,462,13.8,3,4,4453921.47
9,221101,3.9,170,15.4,5,4,2903104.08
2,156538,4.1,106,10.4,9,3,3873443.76
1,100742,2.0,176,23.3,9,4,3982476.56
8,50475,2.2,161,12.6,7,5,3259087.5
7,65142,2.9,377,28.4,4,5,4478091.71
12,221232,1.3,254,12.7,2,4,2397275.97
11,162636,3.4,285,13.6,2,1,3531776.89
9,158484,4.9,97,14.5,4,2,3298555.63
6,98526,2.4,105,24.9,1,5,2832283.58
8,56001,4.0,441,17.4,4,4,4690053.66
3,62649,3.0,389,26.0,6,4,4852278.64
12,197029,1.5,87,25.3,6,5,2462999.11
3,171589,3.3,414,28.4,7,3,4955701.67
0,149228,2.2,488,24.6,5,2,5235750.14
7,159136,1.1,265,9.1,9,5,3340062.32
13,30711,3.5,147,26.4,2,4,2847705.99
13,35106,4.4,236,28.6,2,3,3725020.19
11,70458,2.4,159,29.9,4,5,3200544.97
2,152661,2.6,333,10.8,4,2,4115295.44
6,225344,4.6,277,21.5,4,3,3929260.46
14,135429,4.3,281,12.4,1,4,2919913.01
11,222583,3.9,340,13.8,4,1,3772145.7
1,106754,2.0,332,24.4,5,2,4669495.81
1,143286,4.6,342,29.5,9,3,5421744.27
6,232189,1.6,411,21.1,3,5,3620528.28
14,221803,3.5,283,26.7,3,5,3165065.11
5,246190,1.1,443,8.2,5,3,3602999.78
2,131479,3.6,133,8.8,6,5,3603583.82
8,163199,2.1,81,21.1,3,3,2666370.51
9,141213,2.8,279,16.6,1,2,3360547.26
14,33884,2.4,381,27.6,8,5,4067292.51
13,226493,1.7,243,14.6,1,2,2411924.71
12,7708,3.5,325,17.5,2,4,3730960.7
5,23375,4.5,170,19.6,3,4,3600265.09
9,20088,4.8,85,14.0,6,4,3347078.91
9,62615,1.8,266,28.0,4,4,3784343.73
5,115138,3.9,327,18.2,4,5,4087898.84
0,181118,3.7,453,17.3,9,3,5482565.58
3,15014,2.4,313,26.7,6,5,4741005.62
9,200497,1.1,417,14.9,2,5,3319945.11
5,139345,3.8,318,26.0,7,2,4495800.33
14,183207,4.8,174,10.7,3,3,2922514.19
5,107842,3.5,251,12.0,9,1,4422507.45
10,166953,2.7,224,28.9,6,1,3601341.19
11,233094,3.1,356,26.5,8,3,3813476.96
4,83077,1.8,238,16.5,1,1,3449151.65
0,144784,4.0,489,22.0,2,3,4937089.74
7,210776,4.0,116,28.7,6,2,3556041.53
4,57874,1.6,112,12.7,3,2,3353033.39
11,74087,4.5,390,9.3,1,5,3945791.81
11,17297,2.1,375,19.8,6,1,4362947.43
11,245341,4.9,290,11.1,5,3,3426451.34
4,32128,2.5,70,12.1,9,2,3796578.43
6,73368,1.7,269,27.6,6,5,3833334.6
3,230091,2.4,213,8.2,5,1,3392022.72
5,223671,2.8,447,26.0,1,1,4067766.81
12,224571,1.3,97,19.4,1,1,2026883.13
3,83958,3.3,411,20.3,1,2,4655762.24
